;0
0;0102f8107206036f
1;0102f81072060e64
2;0102f81072065df9
3;0102f81072068038
4;0102f810720686c4
5;0102f8107206a4b2
6;0102f8107206bfe9
7;0102f8107206d1f9
8;0102f8107206e277
9;0102f81072070432
10;0102f81072074e93
11;0102f810720758d8
12;0102f81072076492
13;0102f8107207d4bf
14;8102f810009bdd0a
15;8102f810009be108
16;8102f810009cff07
17;8102f810009d2101
18;0102f81072060996
19;0102f810720622bb
20;0102f810720664fb
21;0102f81072069768
22;0102f8107206c5c8
23;0102f8107206eb74
24;0102f8107206efcc
25;0102f8107206fc84
26;0102f81072078b0c
27;0102f8107207d925
28;8102f810009c5c06
29;8102f810009d1b0c
30;8102f810009d2506
31;0102f810720604d0
32;0102f81072061a37
33;0102f81072066417
34;0102f8107207e57a
35;8102f810009c0907
36;8102f810009cb907
37;8102f810009d030c
38;8102f810009e7e08
39;0102f810720609e5
40;0102f81072060db7
41;0102f81072065bbf
42;0102f81072068c7b
43;0102f81072078544
44;8102f810009d1b08
45;8102f810009dcc05
46;8102f81000a06a06
47;0102f8107206fb2f
48;0102f8107207c1bc
49;8102f810009bd201
50;8102f810009bdb0a
51;8102f810009be406
52;8102f810009cc905
53;8102f810009dc607
54;8102f81000abed03
55;0102f81072060993
56;0102f81072063684
57;0102f81072069dc9
58;0102f81072069f43
59;0102f8107206c521
60;0102f81072077e8b
61;8102f810009bc907
62;8102f810009be107
63;8102f810009d2105
64;8102f810009f6708
65;8102f81000a0b204
66;8102f81000a8a801
67;0102f8107206289f
68;0102f81072065980
69;0102f81072068ae9
70;0102f8107206b404
71;0102f8107206e3e8
72;0102f8107206e837
73;0102f810720724ef
74;0102f810720739d5
75;8102f810009bd304
76;8102f810009d2504
77;8102f810009d2509
78;8102f810009ec008
79;8102f810009fa509
80;8102f81000a8a201
81;8102f81000ab3808
82;0102f8107206124e
83;0102f81072061b2f
84;0102f81072066efb
85;0102f810720794a0
86;8102f810009bba0b
87;8102f810009bc903
88;8102f810009bca0a
89;8102f810009be209
90;8102f810009d0606
91;8102f810009e8901
92;8102f810009e8908
93;8102f81000a0ad0b
94;8102f81000a95901
95;0102f81072060e1e
96;0102f810720612b8
97;0102f81072061995
98;0102f8107206a8fe
99;0102f8107206ba3c
100;0102f8107206fff4
101;8102f810009bbc07
102;8102f810009bd309
103;8102f810009bdc05
104;8102f810009d2503
105;8102f810009d9106
106;0102f810720603d3
107;0102f810720621f3
108;0102f810720659e5
109;0102f81072065c8d
110;0102f8107206682d
111;0102f81072068825
112;0102f8107206aaf1
113;0102f8107206bc47
114;0102f8107207f7d7
115;8102f810009bca05
116;8102f810009c0904
117;8102f810009d2806
118;8102f810009d9b03
119;8102f81000a16506
120;8102f81000a16904
121;8102f81000a8af02
122;8102f81000a8b104
123;0102f810720613d0
124;0102f8107206338d
125;0102f81072064034
126;0102f81072067eef
127;0102f8107206eecf
128;0102f81072077f9c
129;8102f810009bb902
130;8102f810009bc90b
131;8102f81000a0ad08
132;8102f81000a84d05
133;0102f8107206078e
134;0102f81072063f80
135;0102f81072071fae
136;8102f810009bd004
137;8102f810009bd204
138;8102f810009c5c05
139;8102f810009e7603
140;8102f81000a06a05
141;8102f81000a25b04
142;8102f81000a8a402
143;0102f81072060e1b
144;0102f81072060ea9
145;0102f81072062511
146;0102f81072065f06
147;0102f8107206f8d9
148;0102f81072073e14
149;8102f810009cc908
150;8102f810009dc606
151;0102f810720657da
152;0102f81072069fac
153;0102f8107206c65c
154;0102f8107206d966
155;8102f810009bc901
156;0102f810720630a0
157;0102f81072063439
158;0102f810720664f5
159;0102f81072066544
160;0102f8107206b374
161;0102f8107206c635
162;0102f8107207671d
163;0102f8107207745b
164;0102f8107207bc00
165;8102f810009bcf08
166;8102f810009c9c01
167;0102f8107206534c
168;0102f81072066670
169;0102f81072076718
170;8102f810009be506
171;8102f810009df40a
172;8102f810009e8906
173;0102f810720659e8
174;0102f81072067502
