LocInfo,TECHNO,LAC,CI,COORD_X,COORD_Y,LON,LAT,min_dt,max_dt,NOM_SITE
0102f810041fa791,3G,1055,42897,794367,2087652,4.835282,45.761386,2019/03/15,2019/06/22,LYON_BELLECORDIERE
0102f810041fc9f7,3G,1055,51703,794292,2087959,4.834444,45.764168,2019/03/15,2019/06/22,LYON_HERRIOT
0102f810041fe5d9,3G,1055,58841,793396,2085521,4.821941,45.742501,2019/03/15,2019/06/22,LYON_PERIER
0102f81051093255,3G,20745,12885,792443,2086668,4.810166,45.753085,2019/03/15,2019/06/22,LYON_CHAVRIL
8102f81000995707,4G,1,10049287,793608,2089080,4.826112,45.774444,2019/03/15,2019/06/22,LYON_CANUTS
8102f81000995a05,4G,1,10050053,795651,2085717,4.850982,45.743618,2019/03/15,2019/06/22,LYN_BERTHELOT
8102f81000995c09,4G,1,10050569,795630,2087649,4.851506,45.760997,2019/03/15,2019/06/22,LYON_BONNEL
8102f81000996903,4G,1,10053891,793482,2089632,4.824717,45.779443,2019/03/15,2019/06/22,LYON_LA_CROIX_ROUSSE
8102f81000996904,4G,1,10053892,793482,2089632,4.824717,45.779443,2019/03/15,2019/06/22,LYON_LA_CROIX_ROUSSE
8102f81000a12c0b,4G,1,10562571,813987,2080646,5.084169,45.692502,2019/03/15,2019/06/22,TGVN_LES_ROUTES
8102f81000a13307,4G,1,10564359,794153,2088112,4.83272,45.765584,2019/03/15,2019/06/22,LYN_CHAVANNE_HCL
8102f81000a17308,4G,1,10580744,813056,2083116,5.073328,45.715003,2019/03/15,2019/06/22,TGVN_SATOLAS
8102f81000bad00a,4G,1,12242954,793143,2089185,4.820179,45.77552,2019/03/15,2019/06/22,LYON_BONNY
0102f810041f04e5,3G,1055,1253,794025,2086750,4.83052,45.753373,2019/03/15,2019/06/22,LYON_CHARITE
0102f810041f2ca4,3G,1055,11428,794845,2088205,4.841649,45.766222,2019/03/15,2019/06/22,LYON_GENERAL_SARRAIL
0102f810041f3e51,3G,1055,15953,795058,2087326,4.844026,45.758257,2019/03/15,2019/06/22,LYON_SEVIGNE
0102f810041f8dd7,3G,1055,36311,795686,2086304,4.851673,45.748887,2019/03/15,2019/06/22,LYN_PL_STALINGRAD
0102f810041f94cc,3G,1055,38092,794094,2089435,4.832502,45.777497,2019/03/15,2019/06/22,LYON_MAISON_CANUTS
0102f81007087b87,3G,1800,31623,795921,2087734,4.85528,45.761678,2019/03/15,2019/06/22,LYON_TOUR_OXYGENE
0102f81007088ca5,3G,1800,36005,795053,2087829,4.844167,45.762782,2019/03/15,2019/06/22,LYON_PIERRE_CORNEILLE
8102f81000995605,4G,1,10049029,794385,2088425,4.835829,45.768332,2019/03/15,2019/06/22,LYON_BEAUX_ARTS
8102f81000999f03,4G,1,10067715,794640,2083830,4.837227,45.72694,2019/03/15,2019/06/22,LYON_SALK_TDF
8102f81000999f05,4G,1,10067717,794640,2083830,4.837227,45.72694,2019/03/15,2019/06/22,LYON_SALK_TDF
8102f81000aeca02,4G,1,11454978,795354,2087231,4.847789,45.757318,2019/05/26,2019/06/22,LYON_METRO_BTS_H
8102f81000af0c01,4G,1,11471873,803945,2084379,4.956923,45.729151,2019/03/15,2019/06/22,FLEXIZONE_CHASSIEU_EUREXPO
0102f810041c95ea,3G,1052,38378,803735,2084560,4.954305,45.730841,2019/03/15,2019/06/22,CHASSIEU_EUREXPO
0102f810041ff19c,3G,1055,61852,794051,2087229,4.83105,45.757673,2019/03/15,2019/06/22,MME_FANZONE_BELLECOUR
0102f810041ff1e3,3G,1055,61923,794230,2085825,4.832776,45.744997,2019/03/15,2019/06/22,LYN_GALLIENI
0102f81095140300,3G,38164,768,794695,2083719,4.837888,45.725927,2019/03/15,2019/06/22,LYON_FOS_SUR_MER
8102f81000995b04,4G,1,10050308,796187,2086845,4.858331,45.753607,2019/03/15,2019/06/22,LYN_BIR_HAKEIM
8102f81000999e05,4G,1,10067461,793780,2087047,4.827494,45.756114,2019/03/15,2019/06/22,LYON_RUE_DU_PLAT
8102f8100099b104,4G,1,10072324,795865,2086522,4.854062,45.750795,2019/03/15,2019/06/22,LYON_GAMBETTA
8102f81000ae8006,4G,1,11436038,802440,2083497,4.937226,45.72167,2019/03/15,2019/06/22,ST_PRIEST_AERODROME
0102f810041c002b,3G,1052,43,804356,2084425,4.96222,45.729441,2019/03/15,2019/06/22,CHASSIEU_GD_BROSSES
0102f810041ed796,3G,1054,55190,794540,2084276,4.836125,45.73098,2019/03/15,2019/06/22,LYN_SIMON_FRYD
0102f810041f2eee,3G,1055,12014,794511,2087930,4.837245,45.763845,2019/03/15,2019/06/22,LYON_LAFAYETTE
0102f810041f5cac,3G,1055,23724,793843,2085072,4.827499,45.738336,2019/03/15,2019/06/22,LYON_GIRONDINS
0102f810041f721b,3G,1055,29211,794379,2087251,4.835272,45.757777,2019/03/15,2019/06/22,LYON_HOTEL_DIEU
0102f810041f7910,3G,1055,30992,794290,2086892,4.833982,45.754574,2019/03/15,2019/06/22,LYON_GAILLETON
0102f81051090e4a,3G,20745,3658,793143,2089185,4.820179,45.77552,2019/03/15,2019/06/22,LYON_BONNY
0102f8105109cec8,3G,20745,52936,793400,2088960,4.82339,45.773424,2019/03/15,2019/06/22,REP_LYON_TUN_XROUSSE_TDF
8102f81000995f09,4G,1,10051337,795560,2088185,4.850827,45.765837,2019/03/15,2019/06/22,LYON_BUGEAUD
8102f81000996909,4G,1,10053897,793482,2089632,4.824717,45.779443,2019/03/15,2019/06/22,LYON_LA_CROIX_ROUSSE
8102f81000998305,4G,1,10060549,794511,2087930,4.837245,45.763845,2019/03/15,2019/06/22,LYON_LAFAYETTE
8102f81000998e08,4G,1,10063368,793830,2084114,4.826943,45.729725,2019/03/15,2019/06/22,LYN_NORMALE_SUP
8102f81000a17303,4G,1,10580739,813056,2083116,5.073328,45.715003,2019/03/15,2019/06/22,TGVN_SATOLAS
8102f81000a41d02,4G,1,10755330,794276,2087085,4.833881,45.756314,2019/03/15,2019/06/22,MME_FAN_ZONE_BELLECOUR_2
8102f81000babe02,4G,1,12238338,792721,2089141,4.814739,45.775244,2019/03/15,2019/06/22,LYON_XROUSSE_BIRMINGHAN
0102f8100068d549,3G,104,54601,801331,2084211,4.923291,45.728419,2019/03/15,2019/06/22,BRON_SERVICE_SANTE
0102f810041c4db6,3G,1052,19894,815955,2083485,5.110704,45.717406,2019/03/15,2019/06/22,COLOMBIER
0102f810041ca72d,3G,1052,42797,813056,2083116,5.073328,45.715003,2019/03/15,2019/06/22,TGVN_SATOLAS
0102f810041cf1ad,3G,1052,61869,803500,2084400,4.951219,45.729473,2019/03/15,2019/06/22,IN_CHASSIEU_EUREXPO_NEW
0102f810041f1db4,3G,1055,7604,794286,2089503,4.834997,45.778054,2019/03/15,2019/06/22,LYON_MARCEL_BERTONE
0102f810041f48e1,3G,1055,18657,793756,2088151,4.827635,45.766048,2019/03/15,2019/06/22,LYON_GARE_ST_PAUL
0102f810041f55da,3G,1055,21978,794845,2088205,4.841649,45.766222,2019/03/15,2019/06/22,LYON_GENERAL_SARRAIL
0102f810041f9cdb,3G,1055,40155,794511,2087930,4.837245,45.763845,2019/03/15,2019/06/22,LYON_LAFAYETTE
0102f810070857c7,3G,1800,22471,796026,2087260,4.856434,45.757385,2019/03/15,2019/06/22,LYN_RANCY
0102f81007085d57,3G,1800,23895,796026,2087260,4.856434,45.757385,2019/03/15,2019/06/22,LYN_RANCY
0102f8100708a8a8,3G,1800,43176,795053,2087829,4.844167,45.762782,2019/03/15,2019/06/22,LYON_PIERRE_CORNEILLE
0102f8105109593c,3G,20745,22844,793143,2089185,4.820179,45.77552,2019/03/15,2019/06/22,LYON_BONNY
