LocationId,count,LON,LAT,NOM_SITE
91,4,2.287868,48.870657,VICTOR_HUGO_VILLE
92,2,2.2879099999999997,48.841169,BOUCICAUT_METRO_L8
93,28,2.288024,48.864824,"RUE_DE_LONGCHAMP, LIGUE_FOOT_KLEBER_EVENT"
94,3,2.28838,48.862613,"MM_HELLO_SHOW_4G_BCKP_EVENT_2014, MM_HELLO_SHOW_4G_EVENT_2014"
95,3,2.288394,48.862146,PALAIS_DE_CHAILLOT_INDOOR
96,27,2.288417,48.866954,LIGUE_FOOT
97,10,2.288852,48.853024,OSM_AG2R_LA_MONDIALE_PARIS_GRENELLE_IND
98,18,2.2889880000000002,48.853734,BRAZZAVILLE_BIS
99,2,2.2893950000000003,48.8409,"FFV_PARTENARIAT_ORANGE_EVENT, FFV_CATAMARAN_ORANGE_PROVISOIRE"
100,27,2.289756,48.832775,CROIX_NIVERT
101,14,2.2898669999999997,48.830726,PARC_EXPOS_VERS_HALL4_HALL5
102,6,2.290207,48.831113,PARC_DES_EXPOS_HALL_5_INDOOR
103,1,2.290283,48.866991,BOISSIERE_METRO_L6
104,4,2.290578,48.85715,SEINE_IENA_OUEST
105,32,2.290607,48.870191,KLEBER
106,7,2.291027,48.872698,FOCH_LE_SUEUR
107,27,2.291155,48.851551,DUPLEIX
108,6,2.291556,48.82972,PARC_DES_EXPOS_HALL_8_INDOOR
109,27,2.291665,48.844766,COMMERCE
110,6,2.292004,48.862139,"OSM_CIN_AQUA_AQUARIUM_DE_PARIS, MM_CINE_AQUARIUM_PARIS_2012"
111,27,2.2921080000000003,48.867189,RUE_LAURISTON
112,3,2.292209,48.876490999999994,GENERAL_LANREZAC
113,27,2.2922689999999997,48.854679,GRENELLE
114,4,2.292557,48.868852000000004,PEROUSE_BELLOY
115,3,2.292925,48.867765000000006,OSM_PERNOD_RICARD_PARIS_INDOOR
116,4,2.293108,48.877732,ACACIAS_TRIOMPHE
117,2,2.293126,48.871495,KLEBER_METRO_L6
118,4,2.29314,48.871576,KLEBER_PORTUGAIS
119,1,2.293327,48.844136999999996,THE_PHONE_HOUSE_COMMERCE_PDV2
120,5,2.293386,48.870713,HOTEL_PENINSULA_PARIS_INDOOR
