,LocInfo,TECHNO,LAC,CI,COORD_X,COORD_Y,LON,LAT,min_dt,max_dt,NOM_SITE
250409,0102f81075040c4d,3G,29956,3149,599542,2427318,2.330269,48.844217,2019/03/15,2019/06/22,DAME_BEUVE
250410,0102f810750487e7,3G,29956,34791,600120,2425800,2.33814,48.830574,2019/03/15,2019/06/22,HOPITAL_STE_ANNE
250411,0102f81075049a7d,3G,29956,39549,600370,2427136,2.341544,48.842581,2019/03/15,2019/06/22,RUE_DES_FEUILLANTINES
250412,0102f8107504c5df,3G,29956,50655,599659,2427880,2.331862,48.849268,2019/03/15,2019/06/22,SENAT_BONAPARTE
251047,8102f810016df502,4G,1,23983362,599893,2430789,2.3350470000000003,48.875412,2019/03/15,2019/06/22,TRINITE_BIS
251048,8102f810016e060b,4G,1,23987723,598864,2431184,2.321026,48.878961,2019/03/15,2019/06/22,ST_AUGUSTIN_BIS
251049,8102f810016e4d02,4G,1,24005890,597569,2425699,2.303413,48.829661,2019/03/15,2019/06/22,SQUARE_CASTAGNARY
251050,8102f810016e7406,4G,1,24015878,602443,2426063,2.369765,48.832933000000004,2019/03/15,2019/06/22,BNF
251051,8102f810016e9e06,4G,1,24026630,603796,2427021,2.3881930000000002,48.841537,2019/03/15,2019/06/22,DUGOMMIER
251053,8102f810016ef102,4G,1,24047874,597754,2431610,2.305899,48.882787,2019/03/15,2019/06/22,LYCEE_CARNOT
251054,8102f810016ef506,4G,1,24048902,601513,2426220,2.357104,48.834346999999994,2019/03/15,2019/06/22,MAIRIE_DU_13EME
251055,8102f810016efc0c,4G,1,24050700,601905,2432386,2.3624680000000002,48.889762,2019/03/15,2019/06/22,MARX_DORMOY_EU
251056,8102f810016efe01,4G,1,24051201,597165,2427422,2.297901,48.845145,2019/03/15,2019/06/22,MEILHAC
251058,8102f810016f4703,4G,1,24069891,598503,2425308,2.316129,48.82615,2019/03/15,2019/06/22,PORTE_DE_CHATILLON
251059,8102f810016f6601,4G,1,24077825,599779,2431531,2.333494,48.882081,2019/03/15,2019/06/22,RUE_CHAPTAL
251060,8102f810016f6603,4G,1,24077827,599779,2431531,2.333494,48.882081,2019/03/15,2019/06/22,RUE_CHAPTAL
251061,8102f810016f750b,4G,1,24081675,596073,2429609,2.283011,48.864795,2019/03/15,2019/06/22,RUE_DE_LA_TOUR
251101,8102f81001720c06,4G,1,24251398,597913,2430278,2.308072,48.870816,2019/03/15,2019/06/22,PONTHIEU
251111,8102f8100172c905,4G,1,24299781,602666,2426565,2.372804,48.837444,2019/03/15,2019/06/22,QUAI_DE_LA_RAPEE_BIS
251112,8102f8100172c90b,4G,1,24299787,602666,2426565,2.372804,48.837444,2019/03/15,2019/06/22,QUAI_DE_LA_RAPEE_BIS
251113,8102f8100172d105,4G,1,24301829,604185,2426884,2.393488,48.840303000000006,2019/03/15,2019/06/22,RUE_DE_LA_DURANCE
251123,8102f81001747d01,4G,1,24411393,597277,2428971,2.299416,48.859066999999996,2019/03/15,2019/06/22,QUAI_BRANLY
251125,8102f8100174aa06,4G,1,24422918,602726,2425062,2.373611,48.823935999999996,2019/03/15,2019/06/22,REGNAULT
251134,8102f8100175510b,4G,1,24465675,601735,2428542,2.3601360000000002,48.855216,2019/03/15,2019/06/22,SAINT_PAUL_METRO_L1
251135,8102f81001755504,4G,1,24466692,599045,2429749,2.323496,48.866065,2019/03/15,2019/06/22,CONCORDE_METRO_L1
251136,8102f81001755907,4G,1,24467719,597362,2430380,2.300565,48.871731,2019/03/15,2019/06/22,GEORGE_V_METRO_L1
251158,8102f8100177ed03,4G,1,24636675,598447,2425580,2.3153650000000003,48.828595,2019/03/15,2019/06/22,PTE_CHATILLON_BIS
251169,8102f8100179c207,4G,1,24756743,600445,2430301,2.342568,48.871026,2019/03/15,2019/06/22,GRANDS_BOULEVARDS_METRO_L8_L9
251172,8102f810017a0e03,4G,1,24776195,599210,2430198,2.325743,48.8701,2019/03/15,2019/06/22,MADELEINE_METRO_L8_L12
251174,8102f810017a4608,4G,1,24790536,599158,2429106,2.325037,48.860286,2019/03/15,2019/06/22,RERC_M_ORSAY
251182,8102f810017be802,4G,1,24897538,601624,2431397,2.358635,48.880875,2019/03/15,2019/06/22,EOLE_MAGENTA_INDOOR
251183,8102f810017c4a01,4G,1,24922625,602227,2429451,2.366841,48.863384,2019/03/15,2019/06/22,FILLES_DU_CALVAIRE_METRO_L8
251184,8102f810017ce201,4G,1,24961537,600136,2431804,2.338359,48.884534,2019/03/15,2019/06/22,ABBESSES_METRO_L12
251188,8102f810017e8302,4G,1,25068290,599111,2428120,2.324399,48.851424,2019/03/15,2019/06/22,RUE_DU_BAC_PROV
251574,0102f81003171db6,3G,791,7606,600445,2430301,2.342568,48.871026,2019/03/15,2019/06/22,GRANDS_BOULEVARDS_METRO_L8_L9
251575,0102f81003172dc9,3G,791,11721,597212,2427837,2.298538,48.848875,2019/03/15,2019/06/22,LA_MOTTE_PICQUET_METRO_L6_8_10
251578,0102f81003177471,3G,791,29809,601215,2430154,2.3530580000000003,48.869704,2019/03/15,2019/06/22,STRASBOURG_METRO_L8
251579,0102f8100317d4aa,3G,791,54442,601465,2431456,2.356468,48.881405,2019/03/15,2019/06/22,GARE_DU_NORD_METRO_L5
