;0
0;0102f810041e6575
1;0102f810041f4a69
2;0102f810041f4d6f
3;0102f810041fd3e8
4;0102f81007083f37
5;0102f81007084f79
6;8102f8100099560b
7;8102f81000998b07
8;8102f810009b2806
9;8102f81000ae7706
10;0102f810041f2cdf
11;0102f810041f40f9
12;0102f810041f6232
13;0102f810041fce82
14;0102f8105109003d
15;8102f81000998c04
16;8102f81000998c08
17;8102f81000999f0c
18;8102f81000a67001
19;0102f810041e2116
20;0102f810041f2860
21;0102f810041f3486
22;0102f810041f45fe
23;0102f810041f4d66
24;0102f810041f5e60
25;0102f810041faf1f
26;0102f810041fbc45
27;0102f81007082af1
28;0102f81007086395
29;0102f81007086a12
30;0102f8100708d710
31;0102f81051095af9
32;8102f81000995b06
33;8102f81000999206
34;8102f8100099a305
35;8102f8100099ad08
36;8102f8100099c002
37;8102f81000a03203
38;0102f810041f17f7
39;0102f810041f2608
40;0102f810041f77de
41;0102f810041f7c05
42;0102f810041f8dda
43;0102f810070832bd
44;0102f810070867e2
45;0102f8100708d0f1
46;8102f81000995a0c
47;8102f81000997006
48;8102f81000998401
49;8102f81000998403
50;8102f8100099b002
51;8102f8100099bd0a
52;8102f81000a1f107
53;0102f810041f2090
54;0102f810041f5e4b
55;0102f810041f60e2
56;0102f810041f6742
57;0102f810041fa089
58;0102f810041ff4e0
59;8102f81000997703
60;8102f8100099a806
61;8102f81000bad00c
62;0102f810041e6577
63;0102f810041eabd3
64;0102f810041f5a4f
65;0102f810041f81e1
66;0102f810041f8c90
67;0102f810041fa534
68;0102f810041fc59e
69;0102f8105109005b
70;8102f81000995f07
71;8102f81000996509
72;8102f81000997d0c
73;8102f81000998b02
74;8102f81000999407
75;8102f8100099b50c
76;8102f810009e830c
77;8102f81000aeca05
78;8102f81000aef005
79;0102f810041f4a4e
80;0102f810041f56ff
81;0102f8100708ee5b
82;0102f810510919fb
83;0102f8105109bb32
84;8102f81000997506
85;0102f810041f1503
86;0102f810041f285c
87;0102f810041f28be
88;0102f810041fa923
89;0102f810041fd5a2
90;0102f810510984e1
91;8102f81000998b0a
92;0102f810041f2a67
93;0102f810041f3a12
94;0102f810041f6e35
95;0102f810041f7212
96;0102f810041fb753
97;0102f810041ff2fd
98;0102f8100708c6c5
99;0102f8100708ebc3
100;0102f810510944a5
101;8102f8100099750b
102;8102f8100099a209
103;8102f8100099ae08
104;8102f8100099b304
105;8102f8100099b909
106;8102f8100099c604
107;8102f81000aeee01
108;8102f81000b9c803
109;0102f810041f1672
110;0102f810041f3089
111;0102f810041f308a
112;0102f810041f54f1
113;0102f810041f60c9
114;0102f810041f66d8
115;0102f810041fe07a
116;0102f810041fe3f7
117;0102f81051092a84
118;8102f81000995e06
119;8102f81000996404
120;8102f8100099700b
121;8102f8100099770a
122;8102f81000999f01
123;8102f8100099a007
124;8102f81000a4d903
125;0102f810041e02ea
126;0102f810041f049f
127;0102f810041f7154
128;0102f810041f7abe
129;0102f810041fdda6
130;0102f81007083583
131;0102f81007083dce
132;0102f810510927ac
133;0102f81051099295
134;0102f8105109f438
135;8102f81000995304
136;8102f8100099960a
137;8102f81000a0320a
138;8102f81000a0bc01
139;8102f81000a4d902
140;8102f81000a88105
141;0102f810041e6573
142;0102f810041f1f6a
143;0102f810041f305e
144;0102f810041f7aef
145;0102f8100708e8f9
146;0102f81095000126
147;8102f81000995709
148;8102f81000997705
149;8102f8100099a301
150;8102f8100099b20c
151;8102f810009f1706
152;8102f81000b9cc06
153;0102f810041f140b
154;0102f810041f6e96
155;0102f810041f7e3e
156;0102f810070885cf
157;8102f8100099640b
158;8102f8100099ac03
159;8102f8100099bc01
160;8102f81000a9da01
161;0102f810041f0c9a
162;0102f810041f3a11
163;0102f810041f428a
164;8102f81000999503
165;8102f81000999c07
166;8102f8100099a308
167;0102f810041f5703
168;0102f81051090da6
169;0102f81051094968
170;8102f81000996306
171;8102f8100099c001
172;8102f81000aeed04
173;8102f81000aef405
174;8102f81000b9cb05
175;0102f810041f30f6
176;0102f810041f9c41
177;0102f81007084437
178;0102f81007087fec
179;0102f81095000373
180;8102f81000999409
181;8102f8100099a20b
182;8102f8100099b503
183;8102f810009ec606
184;8102f81000a93201
185;0102f810041f1f27
186;0102f810041f3484
187;0102f810041f5f53
188;0102f810041f9c45
189;0102f810041fc515
190;0102f81007082a11
191;0102f81007088f6e
192;8102f8100099830b
193;8102f81000998f0a
194;8102f8100099b607
195;8102f81000a05005
196;8102f81000aeec04
197;8102f81000aeef01
198;0102f810041f0781
199;0102f81007081955
200;0102f810070884de
201;0102f81051090057
202;0102f8105109affb
203;0102f8105109f5ee
204;8102f81000995307
205;8102f81000995906
206;8102f81000995e02
207;8102f81000997501
208;8102f81000998b0c
209;8102f8100099b90c
210;8102f810009bbf01
211;8102f81000ac0402
212;0102f810041f30b0
213;0102f810041f4965
214;0102f810041f8ddc
215;0102f810041fc233
216;0102f810041fca4d
217;0102f810041ff22e
218;8102f81000995303
219;8102f81000996908
220;8102f81000999a07
221;8102f8100099ae03
222;8102f8100099b209
223;0102f810041f012e
224;0102f810041f06e4
225;0102f810041f49f8
226;0102f81007084817
227;0102f810070872b5
228;0102f810070873b0
229;0102f8100708d61b
230;0102f81051099790
231;8102f81000996508
232;8102f81000998301
233;8102f81000998c05
234;8102f81000998e05
235;8102f8100099a207
236;8102f81000a05007
237;8102f81000a93101
238;0102f810041e1274
239;0102f810041f0782
240;0102f810041f2603
241;0102f810041f3e21
242;0102f810041f8b92
243;0102f810041ff943
244;0102f8100708dd9d
245;0102f8105109ed09
246;8102f8100099ac09
247;8102f8100099bd04
248;0102f810041f6306
249;0102f810041fa979
250;0102f8100708d0c3
251;0102f81050fd139f
252;8102f81000997206
253;8102f8100099c608
254;8102f81000a03206
255;8102f81000aef004
256;0102f810041f3c18
257;0102f810041f511b
258;0102f810041f678e
259;0102f810041fb6cf
260;0102f810041ff600
261;8102f81000995809
262;8102f81000998405
263;8102f81000998c03
264;8102f81000999305
265;8102f8100099b303
266;8102f8100099c009
267;8102f810009e8306
268;8102f81000a05003
269;0102f810041f3085
270;0102f810041f543b
271;0102f810041f7795
272;0102f810041fa0af
273;0102f81007086a91
274;0102f8100708834d
275;0102f8100708b4af
276;0102f8100708e82b
277;8102f81000994e04
278;8102f81000999507
279;8102f8100099ab08
280;8102f81000ba4d03
281;0102f810041f327a
282;0102f810041f3e37
283;0102f810041f614a
284;0102f810041f6e9c
285;0102f810041fb5ed
286;0102f810041fded5
287;0102f810070850f4
288;8102f81000995701
289;8102f81000995f0c
290;8102f81000996805
291;8102f81000999208
292;8102f81000999502
293;8102f8100099a208
294;8102f8100099aa06
295;8102f8100099ac0b
296;0102f810041f181c
297;0102f810041f50ca
298;0102f810041fb2e7
299;0102f810041fb61f
300;0102f810041fcc05
301;0102f81051091f9e
302;0102f81051096153
303;8102f81000999505
304;8102f8100099b00b
305;8102f81000a03204
306;8102f81000ac040f
307;0102f810041e02eb
308;0102f810041f34fc
309;0102f810041f86f3
310;0102f810041fd7b0
311;0102f81007082f0f
312;0102f810070881fa
313;8102f81000998404
314;8102f81000999f09
315;8102f8100099bd01
316;8102f810009c5d02
317;8102f81000a03208
318;8102f81000a1f10b
319;8102f81000ba4d08
320;0102f810041e21db
321;0102f810041e6547
322;0102f810041f30f5
323;0102f810041f32a6
324;0102f810041f33d2
325;0102f810041f5132
326;0102f810041f89f1
327;0102f810041fb343
328;0102f810041fbc36
329;0102f810041fcf9a
330;0102f81007084083
331;0102f81051090295
332;0102f81051091e04
333;0102f8105109d3a1
334;0102f8105109fb33
335;8102f8100099a20c
336;8102f8100099b703
337;8102f81000b9c801
338;0102f810041f4011
339;0102f810041f8e00
340;0102f810041fc5ac
341;0102f810041fd18f
342;0102f8100708450a
343;0102f8105109da9a
344;8102f81000999f0b
345;8102f8100099a808
346;8102f81000a4d904
347;0102f810041f183d
348;0102f810041f3d48
349;0102f810041f3e8a
350;0102f810041f5dc4
351;0102f810041fbd0c
352;0102f8100708bcf7
353;0102f8105109f85a
354;8102f81000996507
355;8102f81000997901
356;8102f8100099a107
357;8102f8100099b906
358;8102f8100099bd06
359;8102f810009bbf03
360;8102f810009e8305
361;8102f81000a0500f
362;8102f81000aeef02
363;8102f81000babe05
364;0102f810041f388c
365;0102f810041f516b
366;0102f8105109a122
367;8102f8100099a20a
368;8102f8100099ad0a
369;8102f810009c5101
370;0102f810041f0046
371;0102f810041f1064
372;0102f810041fa745
373;0102f810070872b6
374;0102f8100708a62e
375;0102f8100708f9b7
376;0102f8100708f9bd
377;8102f81000995c01
378;8102f81000995c02
379;8102f81000997d04
380;8102f81000998b05
381;8102f810009d2e03
382;0102f810041e4bde
383;0102f810041f2ce3
384;0102f810041f4df2
385;0102f810041f7215
386;0102f810041f85be
387;0102f810041f9dc6
388;0102f810041fad28
389;0102f810041fc25c
390;0102f810041fc783
391;0102f810041fc7f4
