Dataset,Event_Surname,"Major event","Temporal spread","Spatial spread",Date_start,Date_end,Date_series,Date_interval,Time_start,Time_end,"WGS84 Coordinates (DD)",LOC_name,City,Event_type,Commentaire,source(s),"Non trouvé (fichier Jules)"
Cancan,"Match de foot Paris – Monaco",,large,punctual,43576,,,,0.8333333333333334,0.9791666666666667,"48.841583841792456, 2.2530701639224655","Parc des Princes",Paris,Sportif,,,
Cancan,"Concert Disiz La Peste",,large,punctual,43575,,,,0.8333333333333334,0.9791666666666667,"48.894331523809065, 2.3932821496276033","Zenith de Paris ",Paris,Concert,,,
Cancan,"Cérémonie d'hommage à Notre-Dame ",,large,punctual,43573,,,,0.6944444444444444,0.7291666666666667,"48.856680223295555, 2.3515981130201604","Hôtel de ville",Paris,Culturel,,https://france3-regions.francetvinfo.fr/paris-ile-de-france/paris/incendie-notre-dame-ceremonie-hotel-ville-1657440.html,
Cancan,"Camion en feu sur la A8",1,"punctual start",punctual,43573,,,,0.3673611111111111,,"43.730619748306964, 7.256157421275892","A8 sortie 54 (Nice quartier nord)",Nice,"Accident de la route",,https://www.francebleu.fr/infos/faits-divers-justice/un-gros-accident-perturbe-la-circulation-sur-l-autoroute-a8-ce-jeudi-matin-1555570159,
Cancan,"Explosion dans un immeuble",1,"punctual start",punctual,43569,,,,0.9166666666666666,,"48.889414837240835, 2.3624721751128703","19e arrondissement (49 rue Pajol 18ème)",Paris,Explosion,,https://www.francetvinfo.fr/faits-divers/paris-une-explosion-dans-un-immeuble-fait-deux-blesses_3398797.html,
Cancan,"Incendie de Notre-Dame de Paris ",1,"punctual start",punctual,43570,43571,,1,0.7625,0.4097222222222222,"48.85315876303524, 2.3500093969638396","Notre-Dame de Paris",Paris,Incendie,,https://fr.wikipedia.org/wiki/Incendie_de_Notre-Dame_de_Paris,
Cancan,"Marathon de Paris",,large,large,43569,,,,0.3333333333333333,0.5416666666666666,"48.87317891637124, 2.2978204228808714 ; 48.83143568489094, 2.4374383572284395 ; 48.86223138885025, 2.2488735303092104 ; 48.874126353035386, 2.294975650939267","Départ Champs Elysées - Bois de Vincennes - Bois de Boulogne - Arrivée porte dauphine",Paris,Sportif,"60000 inscrits",https://www.lejdd.fr/Sport/marathon-de-paris-voici-le-parcours-2019-qui-integre-lopera-garnier-et-la-place-vendome-3872351,
Cancan,"Concerts Bob Dylan",,large,punctual,43566,43568,2019-04-11;2019-04-12;2019-04-13,,0.8333333333333334,0.9375,"48.87066141419636, 2.347756346541948","Le Grand Rex ",Paris,Concert,,https://www.lefigaro.fr/musique/dylan-is-dylan-deux-heures-de-show-au-grand-rex-sans-un-mot-au-public-20190412,
Cancan,"Camion en feu sur l'A8",1,"punctual start",punctual,43564,,,,0.30000000000000004,,"43.77126947114857, 7.450059391027609","A8 - direction Aix sortie 58",Nice,"Accident de la route","Fermetures de routes-bouchons",https://france3-regions.francetvinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/nice/camion-feu-autoroute-a8-contournement-nice-coupe-ce-mardi-matin-1652376.html,
Cancan,"Match de foot (Paris PSG – Strasbourg)",,large,punctual,43562,,,,0.875,0.9583333333333334,"48.841583841792456, 2.2530701639224655","Parc des Princes",Paris,Sportif,,https://www.eurosport.fr/football/ligue-1/2018-2019/live-paris-saint-germain-strasbourg_mtc1029750/live.shtml,
Cancan,"Concert Youssou N’Dour ",,large,punctual,43561,,,,0.8333333333333334,0.9791666666666667,"48.87031805662914, 2.3283764194805943",Olympia,Paris,Concert,,,
Cancan,"Incendie avec explosion",1,"punctual start",punctual,43561,,,,0.9166666666666666,0.9583333333333334,"48.89905295941058, 2.3737901629880307"," 19e arrondissement",Paris,Incendie,,"https://www.liberation.fr/france/2019/04/07/paris-un-violent-incendie-detruit-en-partie-un-immeuble-sans-faire-de-victimes_1719889/ ; https://l-frii.com/paris-27-appartements-ravages-par-un-incendie-ce-samedi-6-avril-2019-video/",
Cancan,"Concert the Kooks",,large,punctual,43561,,,,0.8333333333333334,0.9791666666666667,"48.894331523809065, 2.3932821496276033","Zenith de Paris ",Paris,Concert,,,
Cancan,"Foire du trône funfair",,large,punctual,43560,43618,,,,,"48.830365177368186, 2.406525208637131","12e arrondissement",Paris,Culturel,,,
Cancan,"Concert Artur H",,large,punctual,43560,,,,0.8333333333333334,0.9791666666666667,"48.87031805662914, 2.3283764194805943",Olympia,Paris,Concert,,,
Cancan,Inondation,1,large,large,43558,,,,0.625,0.75,"43.55504335441202, 7.001295965899059","Cannes, Nice, Mougins, Mandelieu",Nice,Intempéries,"Fermetures de route - bouchons",https://www.francebleu.fr/infos/societe/des-orages-de-fortes-pluies-et-de-la-grele-sur-les-alpes-maritimes-1554309905,
Cancan,"La Grande Course du Grand Paris",,large,large,43555,,,,0.375,0.4583333333333333,"48.85664491506806, 2.352445693751779 ; 48.92462129531899, 2.3601537778960435","Mairie de Paris - Stade de France",Paris,Sportif,,,
Cancan,"La Solirun (10 km)",,large,large,43555,,,,0.4375,0.5208333333333334,"48.864576870101416, 2.2510210521033573","Bois de Boulogne",Paris,Sportif,,,
Cancan,"Concert Aya Nakamura ",,large,punctual,43555,,,,0.8333333333333334,0.9791666666666667,"48.87031805662914, 2.3283764194805943",Olympia,Paris,Concert,,,
Cancan,"Concert Eros Ramazzotti ",,large,punctual,43552,,,,0.8333333333333334,0.9791666666666667,"48.838643772363945, 2.3790240883358718","Bercy AccorHotels Arena",Paris,Concert,,,
Cancan,"Concert Childish Gambino",,large,punctual,43551,,,,0.8333333333333334,0.9791666666666667,"48.838643772363945, 2.3790240883358718","Bercy AccorHotels Arena",Paris,Concert,,,
Cancan,"Concert Lisa Ekdahl ",,large,punctual,43550,,,,0.8333333333333334,0.9791666666666667,"48.87031805662914, 2.3283764194805943",Olympia,Paris,Concert,,,
Cancan,"Concert Véronique Sanson",,large,punctual,43550,,,,0.8333333333333334,0.9791666666666667,"48.83289814394991, 2.286257990007202"," Palais des sports",Paris,Concert,,,
